id	org	files	has_meta	tar_meta	has_r	usable	year	month	day	journal	link
GSE145828	Mus musculus	CSV	no	no	no	no	2020	Feb	24	Gastroenterology	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145828//suppl/filelist.txt
GSE145827	Mus musculus	CSV	no	no	no	no	2020	Feb	24	Gastroenterology	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145827//suppl/filelist.txt
GSE134311	Homo sapiens; Mus musculus; synthetic construct	BED, CSV, GTF, MTX, TSV, TXT	no	no	no	no	2019	Jul	15	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134311//suppl/filelist.txt
GSE139585	Mus musculus	XLSX	no	error_parse	no	no	2019	Oct	30	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139585//suppl/filelist.txt
GSE139103	Mus musculus	TSV, TXT	no	no	no	no	2019	Oct	18	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139103//suppl/filelist.txt
GSE156234	Mus musculus	TSV	no	error_parse	no	no	2020	Aug	13	Sci Rep	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156234//suppl/filelist.txt
GSE153463	Homo sapiens	TXT	no	no	no	no	2020	Jun	29	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153463//suppl/filelist.txt
GSE156338	Mus musculus	CSV	no	no	no	no	2020	Aug	17	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156338//suppl/filelist.txt
GSE155340	Mus musculus	BW, MTX, TSV	no	no	no	no	2020	Jul	29	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155340//suppl/filelist.txt
GSE153489	Homo sapiens; Mus musculus	CEL, CHP, RCC	no	no	no	no	2020	Jun	29	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153489//suppl/filelist.txt
GSE153487	Mus musculus	MTX, TSV	no	error_parse	no	no	2020	Jun	29	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153487//suppl/filelist.txt
GSE142523	Mus musculus	BW, MTX, TSV, TXT, XLS	no	no	no	no	2019	Dec	23	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142523//suppl/filelist.txt
GSE135096	Mus musculus	TXT	no	error_parse	no	no	2019	Jul	30	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135096//suppl/filelist.txt
GSE130000	Homo sapiens	TXT	no	no	no	no	2019	Apr	17	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130000//suppl/filelist.txt
GSE156505	Mus musculus	TXT	no	error_parse	no	no	2020	Aug	19	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156505//suppl/filelist.txt
GSE156471	Homo sapiens	TSV, TXT	no	error_parse	no	no	2020	Aug	19	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156471//suppl/filelist.txt
GSE150703	Mus musculus	TXT	no	error_parse	no	no	2020	May	15	Science	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150703//suppl/filelist.txt
GSE131696	Homo sapiens	CSV	no	error_parse	no	no	2019	May	23	J. Clin. Endocrinol. Metab.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131696//suppl/filelist.txt
GSE128762	Mus musculus	MTX, TSV	no	no	no	no	2019	Mar	24	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128762//suppl/filelist.txt
GSE128761	Mus musculus	MTX, TSV	no	no	no	no	2019	Mar	24	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128761//suppl/filelist.txt
GSE128759	Mus musculus	TXT	no	error_parse	no	no	2019	Mar	24	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128759//suppl/filelist.txt
GSE151152	Mus musculus	H5	no	no	no	no	2020	May	25	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151152//suppl/filelist.txt
GSE151151	Mus musculus	TXT	no	error_parse	no	no	2020	May	25	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151151//suppl/filelist.txt
GSE142047	Mus musculus	MTX, TSV	no	no	no	no	2019	Dec	14	Toxicol. Sci.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142047//suppl/filelist.txt
GSE156057	Mus musculus	H5	no	no	no	no	2020	Aug	11	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156057//suppl/filelist.txt
